punto_id,region,x1_inicial,x2_inicial,alpha0,beta,c,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final
P009,1,-94.19163878318004,73.23522915498702,1.0,0.7,0.001,2.8793857072048157,2.699766703743099e-06,-15.234422383418744,105,True,2.8793857072060813
P009,1,-94.19163878318004,73.23522915498702,0.8,0.5,0.0001,2.879385732051624,4.30680037119201e-06,-15.234422383407118,93,True,2.879385732054845
P009,1,-94.19163878318004,73.23522915498702,0.8,0.5,0.001,2.879385732051624,4.30680037119201e-06,-15.234422383407118,93,True,2.879385732054845
P009,1,-94.19163878318004,73.23522915498702,0.8,0.7,0.0001,2.879385682275492,-4.753411018344596e-07,-15.234422383426145,137,True,2.8793856822755317
P009,1,-94.19163878318004,73.23522915498702,0.8,0.7,0.001,2.879385684219558,-6.305690800664902e-07,-15.234422383425946,135,True,2.8793856842196273
P009,1,-94.19163878318004,73.23522915498702,0.5,0.5,0.0001,2.879384728221875,0.0,-15.234422383425327,124,True,2.879384728221875
P009,1,-94.19163878318004,73.23522915498702,0.5,0.5,0.001,2.879384728221875,0.0,-15.234422383425327,124,True,2.879384728221875
P009,1,-94.19163878318004,73.23522915498702,0.5,0.7,0.0001,2.8793847333903932,3.297313879655212e-06,-15.234422383414518,119,True,2.879384733392281
P009,1,-94.19163878318004,73.23522915498702,0.5,0.7,0.001,2.8793847333903932,3.297313879655212e-06,-15.234422383414518,119,True,2.879384733392281
P010,1,-93.49484070147204,89.77710745066665,1.0,0.5,0.0001,2.8793857410746235,0.0,-15.23442238342553,94,True,2.8793857410746235
P010,1,-93.49484070147204,89.77710745066665,1.0,0.5,0.001,2.8793857410746235,0.0,-15.23442238342553,94,True,2.8793857410746235
P010,1,-93.49484070147204,89.77710745066665,1.0,0.7,0.0001,2.8793847421795196,2.7088719283771662e-06,-15.234422383418194,126,True,2.8793847421807937
P010,1,-93.49484070147204,89.77710745066665,1.0,0.7,0.001,2.8793856651265006,-3.284828726717999e-06,-15.234422383415808,126,True,2.8793856651283742
P010,1,-93.49484070147204,89.77710745066665,0.8,0.5,0.0001,2.879384861428303,3.384974836272051e-06,-15.234422383415673,97,True,2.8793848614302924
P010,1,-93.49484070147204,89.77710745066665,0.8,0.5,0.001,2.879384861428303,3.384974836272051e-06,-15.234422383415673,97,True,2.8793848614302924
P010,1,-93.49484070147204,89.77710745066665,0.8,0.7,0.0001,2.879384734318465,2.2321093519734248e-07,-15.234422383425356,132,True,2.879384734318474
P010,1,-93.49484070147204,89.77710745066665,0.8,0.7,0.001,2.8793857461228685,3.41040865057898e-07,-15.234422383425335,129,True,2.8793857461228884
P010,1,-93.49484070147204,89.77710745066665,0.5,0.5,0.0001,2.8793857410746235,0.0,-15.23442238342553,94,True,2.8793857410746235
P010,1,-93.49484070147204,89.77710745066665,0.5,0.5,0.001,2.8793857410746235,0.0,-15.23442238342553,94,True,2.8793857410746235
P010,1,-93.49484070147204,89.77710745066665,0.5,0.7,0.0001,2.879384764281121,3.1504395104395257e-06,-15.234422383415938,123,True,2.879384764282844
P010,1,-93.49484070147204,89.77710745066665,0.5,0.7,0.001,2.879384764281121,3.1504395104395257e-06,-15.234422383415938,123,True,2.879384764282844
P011,1,-92.54493563202293,97.37738732010344,1.0,0.5,0.0001,2.8793857292913083,0.0,-15.234422383425706,116,True,2.8793857292913083
P011,1,-92.54493563202293,97.37738732010344,1.0,0.5,0.001,2.8793857292913083,0.0,-15.234422383425706,116,True,2.8793857292913083
P011,1,-92.54493563202293,97.37738732010344,1.0,0.7,0.0001,2.879384802625071,-3.125772097683613e-06,-15.234422383416627,131,True,2.879384802626767
P011,1,-92.54493563202293,97.37738732010344,1.0,0.7,0.001,2.8793856620672065,-2.7653830153936396e-06,-15.23442238341899,132,True,2.8793856620685343
P011,1,-92.54493563202293,97.37738732010344,0.8,0.5,0.0001,2.8793857999564367,4.739850066049656e-06,-15.234422383402126,96,True,2.879385799960338
P011,1,-92.54493563202293,97.37738732010344,0.8,0.5,0.001,2.8793857999564367,4.739850066049656e-06,-15.234422383402126,96,True,2.879385799960338
P011,1,-92.54493563202293,97.37738732010344,0.8,0.7,0.0001,2.8793848078979893,-4.544236603212813e-07,-15.234422383426253,118,True,2.8793848078980253
P011,1,-92.54493563202293,97.37738732010344,0.8,0.7,0.001,2.8793857868602077,3.587173256274005e-07,-15.234422383424674,136,True,2.87938578686023
P011,1,-92.54493563202293,97.37738732010344,0.5,0.5,0.0001,2.8793857292913083,0.0,-15.234422383425706,116,True,2.8793857292913083
P011,1,-92.54493563202293,97.37738732010344,0.5,0.5,0.001,2.8793857292913083,0.0,-15.234422383425706,116,True,2.8793857292913083
P011,1,-92.54493563202293,97.37738732010344,0.5,0.7,0.0001,2.8793857409618417,0.0,-15.234422383425533,83,True,2.8793857409618417
P011,1,-92.54493563202293,97.37738732010344,0.5,0.7,0.001,2.8793857409618417,0.0,-15.234422383425533,83,True,2.8793857409618417
P012,1,-91.15074979480804,-60.80342751617096,1.0,0.5,0.0001,2.8793847624245985,0.0,-15.234422383425828,97,True,2.8793847624245985
P012,1,-91.15074979480804,-60.80342751617096,1.0,0.5,0.001,2.8793847624245985,0.0,-15.234422383425828,97,True,2.8793847624245985
P012,1,-91.15074979480804,-60.80342751617096,1.0,0.7,0.0001,-0.5320893638628038,-3.984621313142066e-14,-1.4456224072858697,125,True,0.5320893638628038
