punto_id,region,x1_inicial,x2_inicial,learning_rate,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final,max_iter_alcanzado
P107,2,0.1033634423372154,0.9406389470444392,0.005,-0.5320888862379555,9.833778677060711e-05,-1.4456223976173936,912,True,0.5320888953250841,False
P107,2,0.1033634423372154,0.9406389470444392,0.01,-0.5320888862379558,4.819189126873819e-05,-1.4456224049652555,489,True,0.5320888884203528,False
P107,2,0.1033634423372154,0.9406389470444392,0.05,-0.532088886237956,8.711621439072763e-06,-1.4456224072118216,110,True,0.5320888863092715,False
P107,2,0.1033634423372154,0.9406389470444392,0.1,-0.5320888862381824,3.519348124781222e-06,-1.445622407275328,56,True,0.5320888862498213,False
P107,2,0.1033634423372154,0.9406389470444392,0.2,,5e-324,,2400,False,,True
P107,2,0.1033634423372154,0.9406389470444392,0.3,,0.0,,2400,False,,True
P107,2,0.1033634423372154,0.9406389470444392,0.5,,0.0,,2400,False,,True
P108,2,0.1411374948008597,4.272578346189469,0.001,-0.5320888862379527,0.034993640414050974,-1.444397852418286,2400,False,0.533238349828079,True
P108,2,0.1411374948008597,4.272578346189469,0.005,-0.5320888862379555,9.891603457943126e-05,-1.445622397503332,1062,True,0.5320888954322669,False
P108,2,0.1411374948008597,4.272578346189469,0.01,-0.5320888862379558,4.8105720725436825e-05,-1.4456224049735535,564,True,0.5320888884125552,False
P108,2,0.1411374948008597,4.272578346189469,0.05,-0.532088886237956,8.147112531740716e-06,-1.4456224072213386,125,True,0.5320888863003286,False
P108,2,0.1411374948008597,4.272578346189469,0.1,-0.5320888862379507,3.3524261189301836e-06,-1.4456224072764752,63,True,0.5320888862485117,False
P108,2,0.1411374948008597,4.272578346189469,0.2,,5e-324,,2400,False,,True
P108,2,0.1411374948008597,4.272578346189469,0.3,,0.0,,2400,False,,True
P108,2,0.1411374948008597,4.272578346189469,0.5,,0.0,,2400,False,,True
P109,2,0.1423772969204579,-5.430731091187161,0.001,-0.5320888862379527,-0.04447924311555353,-1.4436440042195815,2400,False,0.5339447405172912,True
P109,2,0.1423772969204579,-5.430731091187161,0.005,-0.5320888862379555,-9.878241323406518e-05,-1.4456223975297489,1086,True,0.5320888954074433,False
P109,2,0.1423772969204579,-5.430731091187161,0.01,-0.5320888862379558,-4.896117389520438e-05,-1.4456224048905175,575,True,0.5320888884905837,False
P109,2,0.1423772969204579,-5.430731091187161,0.05,-0.532088886237956,-8.387972491804095e-06,-1.4456224072173558,127,True,0.532088886304071,False
P109,2,0.1423772969204579,-5.430731091187161,0.1,-0.5320888862379592,-3.4089251556909336e-06,-1.4456224072760933,64,True,0.5320888862488792,False
P109,2,0.1423772969204579,-5.430731091187161,0.2,,-5e-324,,2400,False,,True
P109,2,0.1423772969204579,-5.430731091187161,0.3,,0.0,,2400,False,,True
P109,2,0.1423772969204579,-5.430731091187161,0.5,,0.0,,2400,False,,True
